fmt,deck,tcg,ck_pct,mp_pct,cards
commander,"Dargo, the Shipwrecker",6019.490000000001,22.141576778099136,-15.531548353764201,98
commander,"Glarb, Calamity's Augur",7287.56,27.712567718138835,-19.34982353490057,97
commander,"Ishai, Ojutai Dragonspeaker",6502.940000000001,29.81851285726147,-13.510504479512363,98
commander,"K'rrik, Son of Yawgmoth",4160.76,27.22098847325971,-12.747671098549308,100
commander,"Kinnan, Bonder Prodigy",4551.580000000001,31.02878560851392,-14.797718594422161,98
commander,"Krark, the Thumbless",7153.179999999999,29.331709812978303,-16.18972261287984,99
commander,"Kraum, Ludevic's Opus",8812.44,26.287611603596737,-17.431040665241404,98
commander,"Lumra, Bellow of the Woods",9068.039999999999,35.06954093718158,-12.17021539384474,100
commander,"Magda, Brazen Outlaw",1883.4399999999996,28.927919126704317,-8.468015970776843,100
commander,"Malcolm, Keen-Eyed Navigator",6279.259999999999,30.020734927364078,-14.013116195220443,98
commander,Marneus Calgar,5434.98,24.142315151113735,-14.011275110487965,99
commander,"Ob Nixilis, Captive Kingpin",6151.54,24.22190215783364,-16.66802134099754,100
commander,"Rograkh, Son of Rohgahh",8210.11,28.356014718438605,-18.102680719259546,99
commander,"Silas Renn, Seeker Adept",8210.11,28.356014718438605,-18.102680719259546,99
commander,"Sisay, Weatherlight Captain",9042.980000000001,28.440292912292175,-19.821894994791556,97
commander,"Tayam, Luminous Enigma",5272.59,28.934925719617844,-16.811472160740728,97
commander,"Tevesh Szat, Doom of Fools",6271.26,23.820412484891374,-12.263723717402875,100
commander,"Thrasios, Triton Hero",7584.35,27.13324147751619,-17.67587202594818,97
commander,"Tivit, Seller of Secrets",6180.98,26.542392953868156,-15.614352416607058,100
commander,Tymna the Weaver,8812.44,26.287611603596737,-17.431040665241404,98
commander,Vial Smasher the Fierce,8403.55,26.153470854579307,-16.952002427545487,99
commander,Vivi Ornitier,6563.090000000001,33.00442322137891,-8.9110464735361,100
commander,"Winota, Joiner of Forces",3439.94,27.350186340459448,-13.455176543776926,99
commander,"Yoshimaru, Ever Faithful",5652.969999999999,31.97911894101686,-16.806563629384197,98
commander,"Yuriko, the Tiger's Shadow",3967.15,24.249650252700295,-10.904301576698627,97
standard,4 Color Control,208.84,56.87607737981231,-16.86458532848113,74
standard,Azorius Blink,418.94,60.22103403828714,-1.0096911252207907,73
standard,Azorius Flash,262.9,68.50513503233171,-2.4229745150247006,60
standard,Converge Control,344.28,50.996282095968425,-9.268618566283248,75
standard,Dimir Control,341.82000000000005,51.98935112047274,-7.8169796969165155,75
standard,Dimir Excruciator,277.82000000000005,51.36779209560145,-9.700525520120962,71
standard,Dimir Midrange,163.2,56.1948529411765,-13.743872549019597,75
standard,Golgari Midrange,344.94999999999993,40.4928250471083,-1.5712422090157663,71
standard,Izzet Elementals,555.1600000000001,37.972836659701706,-1.109590028100027,75
standard,Izzet Lessons,273.5,61.30895795246798,-9.407678244972573,72
standard,Izzet Opus,289.6,52.230662983425404,-9.122928176795586,72
standard,Izzet Prowess,246.35999999999999,62.10017860042216,-10.444065595064123,75
standard,Izzet Spellementals,231.2,50.96453287197234,-10.181660899653966,75
standard,Jeskai Control,210.78,62.01252490748648,-11.874940696460756,75
standard,Jeskai Lessons,260.9,51.66347259486397,-12.487543119969347,73
standard,Mardu Discard,239.89,61.96590103797575,-5.8360081704114215,60
standard,Mono Green Landfall,349.23999999999995,61.63956018783647,-6.393883862100546,75
standard,Mono-Red Aggro,132.11,44.80357278025884,-12.587994852774209,72
standard,Rogue,338.2199999999999,60.664656140973406,-6.004967181124677,74
standard,Selesnya Counters,466.6499999999999,53.42119361405771,-3.6129861780777706,60
standard,Selesnya Gearhulk,505.85999999999996,55.639900367690664,-2.2081208239433825,68
standard,Selesnya Landfall,387.4299999999999,64.21805229331756,-5.619079575665253,75
standard,Sultai Control,199.81,63.540363345177944,-5.705420149141682,75
standard,Sultai Reanimator,557.9699999999999,35.37286950911345,0.09677939674177516,60
standard,Temur Kona,490.02,36.57197665401413,-3.010081221174643,71
