productId,name,set,transactions,units,gmv_sale
688679,Flow State,Secrets of Strixhaven,4218,7962,35152.65
688521,Flashback,Secrets of Strixhaven,3915,4968,35594.57
688651,Erode,Secrets of Strixhaven,3771,5161,44420.03
689056,Cauldron of Essence,Secrets of Strixhaven,3767,4333,18222.39
696312,The Unbeatable Squirrel Girl,Marvel Super Heroes,3688,4253,41653.38
687531,Arcane Signet,Commander: Secrets of Strixhaven,3680,8344,6437.52
675591,Stock Up,Secrets of Strixhaven: Mystical Archive,3646,6551,15411.32
687542,Sol Ring,Commander: Secrets of Strixhaven,3436,8498,23317.87
686543,Grave Researcher,Secrets of Strixhaven,3398,4095,15607.6
687665,Fabled Passage,Commander: Secrets of Strixhaven,3367,8855,13574.05
688928,Return the Favor,Secrets of Strixhaven: Mystical Archive,3261,4947,5798.26
688477,Resonating Lute,Secrets of Strixhaven,3102,3863,14264.78
689495,Tablet of Discovery,Secrets of Strixhaven,3028,5808,9875.35
688687,Planar Engineering,Secrets of Strixhaven,2910,3866,8409.43
697024,Hex Magic,Marvel Super Heroes,2827,7470,15453.01
696477,Captain America's Shield,Marvel Super Heroes,2799,3997,7903.99
552582,Sink into Stupor,Modern Horizons 3,2654,3599,24673.06
687664,Command Tower,Commander: Secrets of Strixhaven,2605,5335,3074.48
689052,Scheming Silvertongue,Secrets of Strixhaven,2582,3382,15267.57
686581,Stormcarved Coast,Secrets of Strixhaven,2575,3294,9405.92
696570,"Mole Man, Moloid Master",Marvel Super Heroes,2574,4722,11939.48
686571,Deathcap Glade,Secrets of Strixhaven,2561,3321,7094.92
686583,Sundown Pass,Secrets of Strixhaven,2529,3253,6763.39
688516,Mana Sculpt,Secrets of Strixhaven,2525,3456,5531.57
552580,Fell the Profane,Modern Horizons 3,2485,3100,10972.41
552814,Vexing Bauble,Modern Horizons 3,2470,4655,14060.59
557921,Llanowar Elves,Foundations,2470,4931,3327.57
687597,Fellwar Stone,Commander: Secrets of Strixhaven,2466,5360,6907.57
688960,Shared Roots,Secrets of Strixhaven: Mystical Archive,2455,4227,2641.83
687486,Reliquary Tower,Commander: Secrets of Strixhaven,2451,3568,13527.73
689476,"Moseo, Vein's New Dean",Secrets of Strixhaven,2447,3121,7305.73
689158,Emeritus of Woe,Secrets of Strixhaven,2444,2628,53654.09
686589,Swamp (0269),Secrets of Strixhaven,2420,6901,9213.73
688873,Feed the Swarm,Secrets of Strixhaven: Mystical Archive,2395,3547,5470.16
686574,Shattered Sanctum,Secrets of Strixhaven,2387,3199,13881.45
553299,Pinnacle Monk,Modern Horizons 3,2387,3507,7177.15
552336,Witch Enchanter,Modern Horizons 3,2372,3480,12811.24
688961,Spell Pierce,Secrets of Strixhaven: Mystical Archive,2369,3690,2147.57
686601,Emeritus of Ideation,Secrets of Strixhaven,2343,2881,33634.76
649382,Bender's Waterskin,Avatar: The Last Airbender,2342,4117,7092.63
689107,Dina's Guidance,Secrets of Strixhaven,2325,3176,4273.45
688654,Practiced Offense,Secrets of Strixhaven,2320,4274,4437.39
673622,Cool but Rude,Teenage Mutant Ninja Turtles,2318,2758,17976.62
686590,Mountain (0270),Secrets of Strixhaven,2306,6904,5899.98
693022,The Mind Stone,Marvel Super Heroes,2301,2492,177420.29
689106,Germination Practicum,Secrets of Strixhaven,2296,2502,27255.53
686586,Plains (0267),Secrets of Strixhaven,2291,6778,8276.01
688926,Requisition Raid,Secrets of Strixhaven: Mystical Archive,2285,3359,2184.57
686587,Island (0268),Secrets of Strixhaven,2281,6735,6060.97
686591,Forest (0271),Secrets of Strixhaven,2249,6556,5210.46
552466,Disciple of Freyalise,Modern Horizons 3,2236,3015,6902.4
634431,Genji Glove,FINAL FANTASY,2232,2421,15200.67
686575,Improvisation Capstone,Secrets of Strixhaven,2229,2404,33561.75
696278,"Shuri, Wakandan Inventor",Marvel Super Heroes,2220,5051,4757.91
688858,Bulk Up,Secrets of Strixhaven: Mystical Archive,2203,3106,1668.75
688855,Bitter Triumph,Secrets of Strixhaven: Mystical Archive,2184,3343,2610.71
696274,"Loki, God of Mischief",Marvel Super Heroes,2184,4095,22407.65
591214,Hare Apparent,Foundations,2181,8091,25803.42
686599,"Prismari, the Inspiration",Secrets of Strixhaven,2174,2276,21160.16
686582,Studious First-Year,Secrets of Strixhaven,2163,4480,2815.06
498352,Mirkwood Bats,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,2157,2781,8920.94
688950,Decorum Dissertation,Secrets of Strixhaven,2089,2268,21140.21
553204,Accursed Marauder,Modern Horizons 3,2061,2829,1868.56
696319,"Captain America, Living Legend",Marvel Super Heroes,2055,3147,3885.7
688656,Restoration Seminar,Secrets of Strixhaven,2050,2297,10629.85
686613,"Witherbloom, the Balancer",Secrets of Strixhaven,2033,2192,23054.02
696652,The Serpent Society,Marvel Super Heroes,2031,3348,9407.67
696298,The Scarlet Witch,Marvel Super Heroes,2030,2758,5105.55
696352,Dark Fortress,Marvel Super Heroes,2006,3487,13484.64
591153,Exsanguinate,Foundations,2001,2639,1480.48
671005,Hexing Squelcher,Lorwyn Eclipsed,1999,2249,47272.12
590828,An Offer You Can't Refuse,Foundations,1998,2327,5325.86
693025,The Vision,Marvel Super Heroes,1998,2965,3981.74
686551,Duty Beyond Death,Secrets of Strixhaven: Mystical Archive,1995,2739,1443.2
668475,World War Hulk,Marvel Super Heroes,1995,3290,8018.85
686573,Dreamroot Cascade,Secrets of Strixhaven,1986,2644,2926.52
552813,Buried Alive,Modern Horizons 3,1981,2525,3211.57
696348,Arc Reactor,Marvel Super Heroes,1978,3480,6495.77
696296,"Mjolnir, Hammer of Thor",Marvel Super Heroes,1972,2168,45841.31
696282,"Mister Fantastic, Reed Richards (Borderless)",Marvel Super Heroes,1968,3191,3193.35
675586,Mathemagics,Secrets of Strixhaven,1962,2219,10918.68
686605,Pensive Professor,Secrets of Strixhaven,1940,2736,2400.44
696354,Gleaming Bastion,Marvel Super Heroes,1939,3468,11945.56
688681,Emeritus of Abundance,Secrets of Strixhaven,1929,2195,12643.18
548592,Urza's Cave,Modern Horizons 3,1925,2726,4022.79
688689,Echocasting Symposium,Secrets of Strixhaven,1919,2144,10417.67
697023,Hawkeye's Bow,Marvel Super Heroes,1918,6052,4792.52
696355,Hidden Lair,Marvel Super Heroes,1918,3431,13950.19
624048,Arcane Signet,Commander: Tarkir: Dragonstorm,1910,3314,1885.79
696299,"Thor, God of Thunder",Marvel Super Heroes,1908,2179,20498.08
688683,Harmonized Trio,Secrets of Strixhaven,1904,2591,2675.13
644286,Icetill Explorer,Edge of Eternities,1900,2211,37394.02
696349,The Ten Rings,Marvel Super Heroes,1899,2274,35517.26
689150,Sleight of Hand,Secrets of Strixhaven: Mystical Archive,1896,3192,3633.61
552635,Marionette Apprentice,Modern Horizons 3,1886,2436,3207.64
552651,Revitalizing Repast,Modern Horizons 3,1882,2508,3437.22
696356,Training Compound,Marvel Super Heroes,1877,3397,11404.52
552583,Sundering Eruption,Modern Horizons 3,1875,3207,5532.86
675584,"Lorehold, the Historian",Secrets of Strixhaven,1871,2087,9347.42
696353,Gathering Place,Marvel Super Heroes,1870,3383,11522.11
688479,Traumatic Critique,Secrets of Strixhaven,1868,2887,5855.4
686600,Professor Dellian Fel,Secrets of Strixhaven,1865,2303,22433.9
686597,Prismari Charm,Secrets of Strixhaven,1862,3461,1811.02
696863,"Taskmaster, Mercenary Mimic",Marvel Super Heroes,1853,2786,3879.24
696467,Super-Soldier Serum,Marvel Super Heroes,1851,3353,5183.1
